country,four_regions,income,total_GDP,breast_cancer_female,cervical_cancer_female,colon_cancer_female,liver_cancer_female,lung_cancer_female,stomach_cancer_female,colon_cancer_male,liver_cancer_male,lung_cancer_male,prostate_cancer_male,stomach_cancer_male
Namibia,africa,6279.0,4143947858.69143,18.8,18.1,2.9,1.7,2.2,1.6,4.0,3.1,5.9,18.2,2.5
Nepal,asia,1591.0,5764888196.37731,9.6,14.1,2.1,1.3,2.2,3.0,3.0,2.5,11.0,2.7,5.7
Netherlands,europe,41848.0,392790134493.653,22.99,1.26,11.66,1.15,18.1,3.41,17.05,2.64,49.33,16.44,7.29
New Zealand,asia,29637.0,56077241190.4358,19.82,2.22,14.39,1.77,18.06,3.05,21.11,3.48,29.74,18.15,6.55
Nicaragua,americas,3452.0,4083427038.16698,5.66,13.52,3.74,6.47,2.32,5.12,2.42,6.0,5.52,8.62,9.93
Niger,africa,798.0,1983894008.81976,16.7,15.7,3.3,8.5,0.4,3.1,4.4,16.3,4.6,9.2,2.2
Nigeria,africa,2922.0,48143264348.1839,21.9,23.3,3.7,3.0,0.4,1.9,5.4,10.4,1.1,19.2,1.6
Norway,europe,60152.0,174215767563.661,15.99,2.5,13.53,0.56,15.8,3.19,19.43,1.26,31.95,21.48,5.84
Oman,asia,44628.0,21902763276.506,5.8,3.9,1.9,2.9,2.2,4.3,2.9,6.6,8.8,6.0,10.7
Pakistan,asia,3405.0,77850284714.506,22.0,3.6,3.1,3.4,2.6,2.3,3.2,5.3,18.6,3.5,3.2
Panama,americas,9836.0,11947728636.2557,8.01,8.79,6.25,2.46,5.13,5.04,5.82,3.04,12.62,16.23,11.59
Papua New Guinea,asia,1758.0,3511488507.18449,8.0,22.6,1.9,9.5,1.3,2.5,5.2,18.5,2.1,1.3,4.4
Paraguay,americas,5742.0,7213731473.66012,13.9,26.1,5.3,4.8,4.8,8.1,6.2,4.8,19.7,15.0,15.4
Peru,americas,6693.0,56085932802.1459,14.0,24.6,7.4,10.9,7.1,24.1,7.1,9.3,11.6,22.7,29.5
Philippines,asia,4340.0,86410818146.8529,27.1,15.6,9.5,5.8,12.6,4.7,12.1,17.9,46.6,13.3,8.1
Poland,europe,14964.0,175842681117.193,14.91,6.14,10.89,2.64,13.59,5.34,18.84,4.08,68.73,13.2,15.24
Portugal,europe,26526.0,120530280649.997,15.46,2.42,10.63,1.93,5.35,7.65,19.37,5.27,28.87,16.3,17.57
Qatar,asia,117133.0,19659942528.3123,14.6,2.2,11.8,8.5,4.2,3.5,8.4,12.4,18.5,6.0,6.4
Romania,europe,11429.0,41162034208.366,16.3,11.44,8.93,3.64,7.81,5.94,14.27,8.85,47.02,9.01,17.4
Russia,europe,14629.0,285879843583.363,16.98,4.93,12.57,2.6,5.77,11.49,19.08,5.8,56.75,9.17,28.43
Rwanda,africa,880.0,2089452458.73433,6.2,40.4,3.7,19.1,0.9,12.4,3.2,44.7,1.7,5.8,11.4
Samoa,asia,4773.0,274630824.869932,15.8,15.0,7.2,3.8,0.9,9.9,9.7,11.8,16.0,10.7,21.4
Saudi Arabia,asia,34875.0,189716092330.699,10.9,2.5,5.5,5.3,2.6,3.0,6.0,13.7,9.6,5.3,4.9
Senegal,africa,1915.0,4938886719.17829,13.3,21.1,2.3,13.6,0.1,2.9,2.3,30.3,1.4,6.5,4.9
Serbia,europe,8725.0,6669246165.27864,,,,,,,,,,,
Sierra Leone,africa,1087.0,957766830.812083,19.8,23.8,3.3,5.5,0.6,3.4,4.7,15.1,2.4,16.0,3.2
Singapore,asia,51435.0,98799423165.8727,11.87,3.3,11.19,6.0,11.5,5.12,15.64,18.6,30.49,4.3,8.51
Slovak Republic,europe,16528.0,31086438645.0801,16.95,4.81,15.22,3.14,7.34,5.34,30.78,5.99,52.55,13.85,14.8
Slovenia,europe,23972.0,21353851323.2099,21.0,2.73,11.56,2.24,11.83,5.82,25.89,5.88,48.75,18.97,16.73
Solomon Islands,asia,1468.0,389175564.846495,13.9,24.0,4.5,8.5,5.2,5.4,7.0,17.7,14.8,4.5,7.8
Somalia,africa,607.0,70954321634.13225,14.2,34.6,3.8,8.5,2.1,5.2,6.1,20.8,3.5,11.8,7.0
South Africa,africa,10213.0,141519467703.418,11.49,12.76,4.6,3.48,7.09,2.95,7.12,7.44,24.88,20.91,6.3
Spain,europe,31866.0,617946434914.208,14.04,1.49,9.69,2.69,5.08,4.03,17.62,7.85,45.1,12.38,9.47
Sri Lanka,asia,5111.0,16715893244.8383,10.3,9.5,2.1,0.5,1.6,0.8,3.2,1.1,9.1,2.0,1.9
