country,four_regions,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Botswana,africa,124460933.062928,132351054.309395,141174460.692079,149533468.542861,159750039.448103,169037837.202607,179761624.092506,190411714.882527,210532629.269984,242372325.091596,283867117.158973,357164756.998023,451320315.421487,547465906.131643,595630843.210659,645939309.388566,714714904.049734,800566746.06568,915310388.478142,1026507684.24507,1149554147.71389,1253759594.17021,1406286114.58812,1591166745.39771,1727138045.69313,1850201316.49203,2001416865.1642,2239223778.37555,2674752122.57273,3024058863.49235,3228872987.76923,3469705220.39383,3570918962.09705,3639341602.82667,3771373857.1617,3937459474.90577,4156073603.98098,4578731951.38502,5062855230.74023,5319318419.80241,5632391130.00782,5832008812.63875,6357436298.94717,6756370184.78166,7160256353.33685,7277848792.05788,7651617601.75573,8019553718.59284,8255372642.11327,7857039299.88531,8408166868.0876,8833027410.51872
Brazil,americas,105343379555.07,116168372088.549,122227783363.761,123296876305.001,127594490402.842,131490572734.285,136947905157.207,143679258550.13,160097893160.754,175684746848.311,191092206861.259,212676237580.201,238309683977.781,271622259839.185,296182671358.383,311611051517.837,342119051572.998,357878143242.35,369443725457.079,394441340691.644,430378734063.393,411470658990.699,413858199196.67,399746489303.713,420809704087.758,454246661386.664,490533225221.11,508190603691.941,507668830626.158,524317621031.587,501771963327.229,509359093915.486,506980820288.782,530632240834.099,558938074182.596,583625429865.925,596173376608.04,616293863302.667,616527313474.616,618073920863.76,644701831101.394,653149809198.705,670512665737.212,678217761978.683,716959543488.882,739613124999.306,768867489436.037,815703390473.873,857885609995.67,855069617296.566,919487274118.018,944612348873.746
Brunei,asia,70427790431.14255,77652494309.1225,81704783102.25598,82414727239.44226,85284752678.26062,87890489120.25958,91529947822.47882,96037928994.8299,106991416278.80759,117387909497.65341,127659859309.79697,142052959246.6938,159148136840.21796,181357756461.94397,3547350293.21621,3559959840.18212,4277483738.50037,4744443735.81859,5065919390.18604,6208913808.70887,5774494577.75428,4629601947.86025,4812779345.18223,4836913746.90193,4865929263.57617,4793390471.89056,4663227406.43601,4756917696.25798,4809118508.96632,4757460042.36404,4809288783.36108,4960586183.10812,5196639649.03338,5212467260.7471,5376420034.07738,5617214139.65332,5778895441.92045,5693877965.82142,5662077179.52173,5834892611.69814,6001153317.86543,6165827449.63033,6404574284.02905,6590560241.40492,6623797619.27426,6649465292.75195,6941890186.57972,6952621061.7992,6817818067.15013,6697458250.49918,6871522907.36344,482093128306.86426
Bulgaria,europe,35512201307.21507,39136616529.695984,41181782840.75098,41532578173.88353,42975014953.67926,44290405506.23418,46111990487.750656,48396599439.5298,53884939396.86116,59091072146.99582,64227511758.334915,71429680913.18661,79986589702.65488,91093253084.70291,2222386867.9759264,2242145736.9453087,2640353053.132895,2875690786.6783,3059627580.614195,3650425174.514765,11464296023.1523,12026065056.7382,12306821433.0843,12728983092.5703,13161315817.8897,13514491917.7946,14083127965.0748,14935792898.5764,16570469408.7969,16025320519.7426,14564231601.6249,13334230508.3636,12364513547.943,12181492190.4244,12402953053.4989,12757701009.5527,11605673634.6949,11414698748.4741,11969608571.8622,12204708617.9941,12903546576.0887,13439228305.399,14064179291.3145,14838464301.6194,15839807529.7419,16846951092.1855,17952499282.0294,19101459236.0793,20285749708.7162,19170033474.7368,19246713608.6358,19573907739.9826
Burkina Faso,africa,596612183.287604,620738750.269491,658782579.24595,650429108.324783,665277229.097888,690321892.208778,694033153.022472,755269884.229694,778462514.914721,794234796.338237,795164206.872852,806402579.679416,825042565.091797,828749707.461849,897423442.735643,924331633.708498,1003222367.76542,1006937837.53801,1053335771.04235,1091936540.32066,1100637951.84322,1147473436.0414,1257197102.08997,1261546812.18355,1239107720.9123,1344647048.21971,1451618598.24715,1448187889.43502,1532118964.9041,1565063617.55922,1555627403.27858,1696722567.02594,1700671023.03889,1759537793.58894,1782675843.58129,1884580259.68408,2092161948.32751,2224320360.91557,2386867456.67332,2563595394.81877,2610945548.69944,2784535504.33477,2915395385.21952,3149921832.99475,3295911699.12522,3581061359.44162,3823420768.6819,3961301219.35675,4191056890.72339,4315340132.35803,4655655008.48177,4849461450.3539
Burundi,africa,341126764.859404,294235019.028648,320902003.498097,334172608.746398,355135383.214658,369224405.086855,386256700.61343,439643242.327043,438333616.911449,431935957.43442,524049197.455722,538443931.279036,503962170.792592,538680380.366229,534765038.242283,538497271.645508,581268284.30652,647936577.271411,641842241.370881,652528625.537153,658995547.878107,739150992.311433,731363298.806667,758535836.83684,759715693.898184,849234362.959352,876836012.29591,925089140.830345,971630600.888471,984742777.541863,1019207023.28111,1070135131.38782,1080943478.71619,1013492605.6443,974675838.848123,897481512.411354,825682991.418443,812554631.854888,851150976.867996,842554352.001632,835334806.597295,852507678.913873,890414598.42312,879518346.03862,922031252.835539,930329534.11106,980424592.197328,1027346065.58507,1079207715.28003,1116639230.08754,1158914103.08753,1207491444.21715
Cambodia,asia,1439535422.296217,1540007078.999969,1595706130.0707586,1656056578.076554,1719354118.7102988,1757636050.8553724,1838746551.0687401,1685868884.5494916,1778254178.9846845,1851473697.5131297,1948101270.292326,2013969178.986103,2043380105.039826,2156680822.7702994,2357315245.0121017,2594195525.089444,2487821982.208685,2823046915.0039754,3369872140.2259355,3559223147.6603165,3498919538.2069135,4080419509.5385413,4355440217.242003,4642996447.09254,4962281857.519752,5376529448.52038,5725657087.943505,5636285123.259823,5254781433.123146,5174584280.243681,4905934640.810215,4763960055.1318,4638268425.820155,2211084361.71757,2412281198.43619,2567702131.22231,2706674884.7909,2858784408.45381,3001981855.74101,3359510627.74334,3654031716.27649,3947765865.55704,4211787742.80549,4570038145.41315,5042604252.66581,5710753630.44345,6325863881.6222,6971897273.0078,7438427180.48109,7444876070.67246,7888819880.59449,8435594576.25924
Cameroon,africa,2537944079.73303,2785779138.97129,2870510256.64342,2977940547.40671,3083572854.20594,3146047696.62389,3291236401.52405,2932094526.77194,3118174741.05792,3271011437.59184,3372153343.12893,3489494426.69317,3582798039.28706,3774681265.17437,4179865451.78192,4649893778.53338,4394375680.11085,4998157252.73654,6097902039.08099,6465917669.78348,6338843528.53572,7421688026.76565,7979517135.67734,8527457057.34824,9164848021.14132,9903824534.08141,10574478163.5911,10347481105.6893,9537932265.35782,9364425782.9455,8792662258.33932,8457784978.87578,8195593372.92412,7933334601.80442,7735001163.11329,7990255903.37695,8389769052.04668,8817647111.67982,9261990653.33969,9668944995.62582,10075040330.7629,10529854963.3835,10952001542.1493,11393475992.2268,11815245845.1736,12086601213.5544,12476049221.7969,12912710944.5598,13287179561.952,13552923153.191,13986616694.0932,14518108128.4687
Canada,americas,167894860727.982,173205864894.771,185532543976.469,195146424965.075,208220175171.959,222038801085.539,236659979328.265,243559352224.452,256456652565.332,269946274608.461,276920125853.583,288322748522.828,304024389011.232,325197264382.241,337200255235.943,343347325296.68,361198991147.09,373690085184.997,388464263752.535,403245029407.579,411965674556.968,426397324574.186,414206601726.559,425463934274.565,450202400112.652,471722414995.236,483141789895.893,503690868080.071,528746831535.954,542596841726.38,543644188639.857,532270264642.992,536928652927.34,549484959131.558,575883371021.194,592056646975.038,601640859296.483,627065699652.711,652759293179.189,688868389470.388,724918860682.782,737849972166.1,759428612127.489,773714028802.07,797853728385.849,821941389978.329,845145064427.484,863738436331.086,869687235057.888,845598914756.658,872784483603.278,894251850391.428
Cape Verde,africa,84214921723.11314,86883672395.54135,93036586265.01755,97841614978.15817,104384073822.80638,111295982988.16344,118608356064.30605,122071060357.80334,128523802136.34111,135289566551.81949,138783874361.28107,144488845176.42798,152339662856.93182,162932285662.83917,168954931852.25378,172029903853.49414,180975089377.81805,187234932552.62878,194626736477.3106,202007392020.1774,168002515.530989,182201352.955356,187348595.415712,205185586.172582,212948312.65933,231351490.425217,237994645.566196,248249986.146001,263137178.068394,278130601.207596,280055742.454722,283988137.116832,292633758.485896,314026757.673889,335787330.600821,360942910.034502,385103610.710095,414523320.4853,449397101.686959,502696350.706094,539227052.669436,572322732.857064,602555643.262388,630774693.698518,657771850.588814,700664444.374931,771724177.0959,838471844.899543,890437199.988446,923495946.345076,971606714.922306,1020632796.90027
Central African Republic,africa,534982718.244285,561479896.311694,540628553.566112,536804991.241327,547972473.653755,553164890.787858,556732800.347069,582768491.154702,590951707.350212,632858495.177974,647622868.97913,654941830.027949,654936702.631633,667306943.437332,709608468.564597,712482410.308298,751187608.546063,779779920.260584,789209202.086224,769754632.775812,735280403.101173,723923942.429106,779779920.260584,716411512.44041,784338464.453156,815141622.799038,844307119.648237,802606510.925871,816333273.03305,832474749.9378,814596168.934574,810096120.390118,758054780.984254,760595369.750546,797864535.935505,855310801.010375,821098357.415264,864616592.023328,905253518.76904,937842672.020526,959413050.588324,961916948.874593,956312926.479159,883633144.066743,892469475.50741,913888742.919589,948616515.150534,983715326.211103,1003389632.73533,1020447256.49183,1054122015.95606,1086799798.45069
Chad,africa,750173439.196166,760658940.916148,801431143.423246,788612620.753747,768811034.169193,773471780.239333,759494430.58562,765321282.377907,761822089.097985,814245430.39498,829387598.226209,810746063.887088,820066531.108165,751337714.511473,788617984.32704,859674572.772848,885299453.813494,905082575.429743,900831998.262312,707683819.538894,664885432.250815,671819642.726556,707739212.203933,818703645.948981,835478055.990017,1017551896.68722,976018811.4377,952703591.10517,1100204581.95739,1153946661.42191,1105729318.9317,1200104833.04015,1296130541.30164,1092510545.41268,1203257111.7857,1218135979.32997,1245111272.14945,1315502297.23187,1406950490.75446,1397343126.21184,1385050963.9347,1546522070.26705,1677840504.22094,1924846596.21627,2572160415.60851,3017980987.38989,3024016949.36467,3030064983.2634,3017944723.33035,2981729386.65038,3369354206.91493,3473804187.3293
Chile,americas,14087170194.634,14657690859.8721,15418876405.2851,16361981977.4922,16798498658.7145,16868577798.1002,18555706498.2144,19231279565.2073,19952775456.6964,20645399592.5055,21083602245.9872,22984914081.8992,22796622696.6896,21670218613.3682,22210640171.6614,19686893962.7247,20357505084.7315,22128086935.3716,23779489868.095,25844101252.8644,27950035374.9051,29274115494.3915,26252080505.4995,25258026489.5833,27271935216.2928,29213486581.2762,30848376501.6582,32882584739.2423,35286696751.7067,39013086690.102,40455626742.1496,43679935489.348,49042927668.5114,52469207192.7431,55464212029.0987,61358713992.5471,65907537052.9766,70261111896.9799,72531163201.7837,71979306356.5425,75210511779.6437,77750400227.5249,79448554862.667,82560485563.2678,87548035975.0412,91287855655.9846,96486092629.0965,101465571561.571,104806280193.518,103720034589.473,110041983987.146,116631547326.928
