country,four_regions,income,total_GDP,life_expectancy,child_mortality,health_spending,sanitation
Luxembourg,europe,91469.0,26928586463.9945,81.5,2.3,8181.10261057,100.0
"Macedonia, FYR",europe,11431.0,4713514754.06627,75.6,8.6,316.87077326,88.0
Madagascar,africa,1372.0,5076555381.05748,62.6,57.8,15.90011218,15.0
Malawi,africa,747.0,2882733193.59963,56.6,85.7,25.62494812,51.0
Malaysia,asia,21096.0,154815013649.811,74.6,8.4,367.91860286,96.0
Maldives,asia,12694.0,1311837035.73776,79.6,11.8,382.47500438,97.0
Mali,africa,1658.0,4313254834.88989,59.6,131.7,31.65952422,22.0
Malta,europe,28178.0,4698472004.25411,81.3,6.4,1696.9187267,100.0
Marshall Islands,asia,3510.0,138291162.222928,66.0,38.8,520.38008456,75.0
Mauritania,africa,3357.0,2207705289.66642,68.8,95.4,42.68553844,26.0
Mauritius,africa,16179.0,6909269806.40436,73.7,14.9,448.9274513,89.0
Mexico,americas,15887.0,719742387372.181,75.7,16.0,,85.0
"Micronesia, Fed. Sts.",asia,3412.0,241581245.084874,68.4,39.4,366.20530789,
Moldova,europe,4179.0,2261587710.74557,72.3,16.9,190.41303705,85.0
Monaco,europe,58081.0,2379753212.490225,,3.9,6325.54241865,100.0
Mongolia,asia,8905.0,2497918714.23488,65.6,28.0,120.10831088,51.0
Montenegro,europe,14082.0,1440190453.10534,76.7,6.2,578.34877165,90.0
Morocco,africa,6698.0,62633129053.6422,73.9,31.9,147.95034571,70.0
Mozambique,africa,974.0,9609339536.61886,54.5,98.9,21.33926933,18.0
Myanmar,asia,3181.0,7999332214.81735,66.4,57.2,17.14426649,76.0
Namibia,africa,8715.0,6389324893.01584,62.6,53.6,361.30572527,32.0
Nauru,asia,10879.0,7384521721.4376545,,38.8,713.25674642,
Nepal,asia,2044.0,8379718549.85947,69.3,43.1,,31.0
Netherlands,europe,46388.0,446362217923.02,80.9,4.3,5593.05223138,100.0
